"Empresa";"Data";"Tipo Movimento";"Qtde Requisições";"Total Desconto";"Total Venda";
"2006";"28/01/2013 (Segunda-feira)";"Saída por Venda Balcão";"0005";"242,75";"820,46";
"2006";"29/01/2013 (Terça-feira)";"Saída para Oficina";"0006";"24,23";"596,00";
"2006";"29/01/2013 (Terça-feira)";"Saída por Venda Balcão";"0003";"29,25";"509,17";
"2006";"30/01/2013 (Quarta-feira)";"Saída para Oficina";"0004";"18,77";"515,88";
"2006";"30/01/2013 (Quarta-feira)";"Saída por Venda Balcão";"0011";"4,64";"390,91";
"2006";"31/01/2013 (Quinta-feira)";"Saída para Oficina";"0005";"32,68";"611,68";
"2006";"31/01/2013 (Quinta-feira)";"Saída por Venda Balcão";"0009";"45,37";"566,56";
"2006";"01/02/2013 (Sexta-feira)";"Saída para Oficina";"0006";"97,49";"1.088,33";
"2006";"01/02/2013 (Sexta-feira)";"Saída por Venda Balcão";"0006";"33,32";"361,23";
"2006";"02/02/2013 (Sábado)";"Saída para Oficina";"0001";"0,00";"41,85";
"2006";"02/02/2013 (Sábado)";"Saída por Venda Balcão";"0004";"46,29";"246,15";
"2006";"04/02/2013 (Segunda-feira)";"Saída para Oficina";"0001";"0,00";"222,66";
"2006";"04/02/2013 (Segunda-feira)";"Saída por Brinde - Almoxarifado";"0002";"0,00";"41,60";
"2006";"04/02/2013 (Segunda-feira)";"Saída por Venda Balcão";"0003";"150,00";"537,66";
"2006";"05/02/2013 (Terça-feira)";"Saída para Oficina";"0007";"37,97";"1.408,77";
"2006";"05/02/2013 (Terça-feira)";"Saída por Venda Balcão";"0003";"4,26";"70,45";
"2006";"06/02/2013 (Quarta-feira)";"Saída para Oficina";"0002";"8,96";"280,02";
"2006";"06/02/2013 (Quarta-feira)";"Saída por Venda Balcão";"0002";"5,55";"30,36";
"2006";"07/02/2013 (Quinta-feira)";"Saída por Venda Balcão";"0004";"17,20";"63,60";
"2006";"08/02/2013 (Sexta-feira)";"Saída para Oficina";"0007";"55,50";"1.336,12";
"2006";"08/02/2013 (Sexta-feira)";"Saída por Venda Balcão";"0003";"0,01";"104,71";
"2006";"09/02/2013 (Sábado)";"Saída para Oficina";"0003";"22,00";"354,11";
"2006";"09/02/2013 (Sábado)";"Saída por Venda Balcão";"0005";"0,11";"71,49";
"2006";"13/02/2013 (Quarta-feira)";"Saída para Oficina";"0005";"1.403,51";"13.033,76";
"2006";"13/02/2013 (Quarta-feira)";"Saída para Uso Firma";"0001";"0,00";"3,38";
"2006";"13/02/2013 (Quarta-feira)";"Saída por Venda Balcão";"0007";"36,70";"389,00";
"2006";"14/02/2013 (Quinta-feira)";"Saída para Oficina";"0002";"0,00";"95,85";
"2006";"14/02/2013 (Quinta-feira)";"Saída por Venda Balcão";"0002";"2,03";"15,80";
"2006";"15/02/2013 (Sexta-feira)";"Saída para Oficina";"0004";"8,91";"555,22";
